05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:85 - deleteRecordNegative:
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:83 - deleteRecord[0] Record with id = 1 not found
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:84 - deleteRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate entity descriptor: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:59 - receiveRecordByIdPositive:
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.10:00.15.00 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.15.00  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.17.09  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.17.12  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:113 - addRecordPositive:
05.10:00.17.12 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.10:00.17.12 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.17.12  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.10:00.17.12 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.10:00.17.12 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.17.12 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.10:00.17.12 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.37.44  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.37.46  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:113 - addRecordPositive:
05.10:00.37.46  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.10:00.37.46 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.10:00.37.46 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.38.25  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.10:00.38.27  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:113 - addRecordPositive:
05.10:00.38.27 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.10:00.38.27 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.38.27  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, control=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.10:00.38.27 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
05.10:00.38.27 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:118 - addRecord[1]:org.hibernate.UnknownEntityTypeException: Unable to locate persister: ru.sfedu.hibLabs.lab2.model.TestEntity
05.10:00.38.27 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:39 - loadBeanList[0]: Loading from table Test_Entity Error
05.10:00.38.27 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:40 - loadBeanList[1]: jakarta.persistence.PersistenceException: Converting `org.hibernate.exception.SQLGrammarException` to JPA `PersistenceException` : JDBC exception executing SQL [from TestEntity]
05.10:00.39.06  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
